slot_index,a_km,e,i_deg,raan_deg,argp_deg,arg_lat_deg
94,6782.489349,0.000000,32.000000,316.352952,0.000000,349.470752
297,6782.489349,0.000000,32.000000,214.570222,0.000000,211.838440
419,6782.489349,0.000000,32.000000,153.400306,0.000000,343.704735
614,6782.489349,0.000000,32.000000,55.628718,0.000000,268.245125
753,6782.489349,0.000000,32.000000,345.935124,0.000000,267.994429
1020,6782.489349,0.000000,32.000000,212.063258,0.000000,352.980501
1151,6782.489349,0.000000,32.000000,146.380807,0.000000,54.902507
1440,6782.489349,0.000000,36.000000,1.478300,0.000000,328.913649
1450,6782.489349,0.000000,36.000000,356.464372,0.000000,251.197772
1452,6782.489349,0.000000,36.000000,355.461587,0.000000,235.654596
1471,6782.489349,0.000000,36.000000,345.935124,0.000000,87.994429
1473,6782.489349,0.000000,36.000000,344.932339,0.000000,72.451253
1474,6782.489349,0.000000,36.000000,344.430946,0.000000,64.679666
1499,6782.489349,0.000000,36.000000,331.896127,0.000000,230.389972
1501,6782.489349,0.000000,36.000000,330.893342,0.000000,214.846797
1516,6782.489349,0.000000,36.000000,323.372450,0.000000,98.272981
1544,6782.489349,0.000000,36.000000,309.333453,0.000000,240.668524
1556,6782.489349,0.000000,36.000000,303.316740,0.000000,147.409471
1559,6782.489349,0.000000,36.000000,301.812562,0.000000,124.094708
1582,6782.489349,0.000000,36.000000,290.280528,0.000000,305.348189
1594,6782.489349,0.000000,36.000000,284.263815,0.000000,212.089136
1596,6782.489349,0.000000,36.000000,283.261030,0.000000,196.545961
1608,6782.489349,0.000000,36.000000,277.244317,0.000000,103.286908
1632,6782.489349,0.000000,36.000000,265.210890,0.000000,276.768802
1638,6782.489349,0.000000,36.000000,262.202534,0.000000,230.139276
1651,6782.489349,0.000000,36.000000,255.684428,0.000000,129.108635
1653,6782.489349,0.000000,36.000000,254.681643,0.000000,113.565460
1675,6782.489349,0.000000,36.000000,243.651002,0.000000,302.590529
1680,6782.489349,0.000000,36.000000,241.144038,0.000000,263.732591
1681,6782.489349,0.000000,36.000000,240.642645,0.000000,255.961003
1696,6782.489349,0.000000,36.000000,233.121754,0.000000,139.387187
1701,6782.489349,0.000000,36.000000,230.614790,0.000000,100.529248
1703,6782.489349,0.000000,36.000000,229.612005,0.000000,84.986072
1707,6782.489349,0.000000,36.000000,227.606434,0.000000,53.899721
1718,6782.489349,0.000000,36.000000,222.091113,0.000000,328.412256
1739,6782.489349,0.000000,36.000000,211.561865,0.000000,165.208914
1744,6782.489349,0.000000,36.000000,209.054902,0.000000,126.350975
1750,6782.489349,0.000000,36.000000,206.046545,0.000000,79.721448
