slot_index,a_km,e,i_deg,raan_deg,argp_deg,arg_lat_deg
1482,6782.489349,0.000000,41.000000,338.097223,0.000000,2.506964
1706,6782.489349,0.000000,41.000000,225.785246,0.000000,61.671309
1869,6782.489349,0.000000,41.000000,144.058226,0.000000,234.902507
1942,6782.489349,0.000000,41.000000,107.456555,0.000000,27.576602
2030,6782.489349,0.000000,41.000000,63.333992,0.000000,63.676880
2223,6782.489349,0.000000,41.000000,326.565190,0.000000,3.760446
2268,6782.489349,0.000000,41.000000,304.002516,0.000000,14.038997
2341,6782.489349,0.000000,41.000000,267.400845,0.000000,166.713092
2415,6782.489349,0.000000,41.000000,230.297781,0.000000,311.615599
2431,6782.489349,0.000000,41.000000,222.275496,0.000000,187.270195
2757,6782.489349,0.000000,41.000000,58.821457,0.000000,173.732591
2876,6782.489349,0.000000,42.000000,0.317010,0.000000,328.913649
2879,6782.489349,0.000000,42.000000,358.812831,0.000000,305.598886
2882,6782.489349,0.000000,42.000000,357.308653,0.000000,282.284123
2885,6782.489349,0.000000,42.000000,355.804475,0.000000,258.969359
2888,6782.489349,0.000000,42.000000,354.300297,0.000000,235.654596
2890,6782.489349,0.000000,42.000000,353.297511,0.000000,220.111421
2893,6782.489349,0.000000,42.000000,351.793333,0.000000,196.796657
2896,6782.489349,0.000000,42.000000,350.289154,0.000000,173.481894
2899,6782.489349,0.000000,42.000000,348.784976,0.000000,150.167131
2902,6782.489349,0.000000,42.000000,347.280798,0.000000,126.852368
2907,6782.489349,0.000000,42.000000,344.773834,0.000000,87.994429
2910,6782.489349,0.000000,42.000000,343.269656,0.000000,64.679666
2913,6782.489349,0.000000,42.000000,341.765478,0.000000,41.364903
2916,6782.489349,0.000000,42.000000,340.261299,0.000000,18.050139
2921,6782.489349,0.000000,42.000000,337.754336,0.000000,339.192201
2924,6782.489349,0.000000,42.000000,336.250157,0.000000,315.877437
2927,6782.489349,0.000000,42.000000,334.745979,0.000000,292.562674
2930,6782.489349,0.000000,42.000000,333.241801,0.000000,269.247911
2933,6782.489349,0.000000,42.000000,331.737622,0.000000,245.933148
2935,6782.489349,0.000000,42.000000,330.734837,0.000000,230.389972
2938,6782.489349,0.000000,42.000000,329.230659,0.000000,207.075209
2941,6782.489349,0.000000,42.000000,327.726480,0.000000,183.760446
2944,6782.489349,0.000000,42.000000,326.222302,0.000000,160.445682
2947,6782.489349,0.000000,42.000000,324.718124,0.000000,137.130919
2949,6782.489349,0.000000,42.000000,323.715338,0.000000,121.587744
2952,6782.489349,0.000000,42.000000,322.211160,0.000000,98.272981
2955,6782.489349,0.000000,42.000000,320.706982,0.000000,74.958217
2958,6782.489349,0.000000,42.000000,319.202803,0.000000,51.643454
2961,6782.489349,0.000000,42.000000,317.698625,0.000000,28.328691
2966,6782.489349,0.000000,42.000000,315.191661,0.000000,349.470752
2969,6782.489349,0.000000,42.000000,313.687483,0.000000,326.155989
2972,6782.489349,0.000000,42.000000,312.183305,0.000000,302.841226
2975,6782.489349,0.000000,42.000000,310.679127,0.000000,279.526462
2980,6782.489349,0.000000,42.000000,308.172163,0.000000,240.668524
2983,6782.489349,0.000000,42.000000,306.667985,0.000000,217.353760
2986,6782.489349,0.000000,42.000000,305.163806,0.000000,194.038997
2989,6782.489349,0.000000,42.000000,303.659628,0.000000,170.724234
2992,6782.489349,0.000000,42.000000,302.155450,0.000000,147.409471
2994,6782.489349,0.000000,42.000000,301.152664,0.000000,131.866295
2997,6782.489349,0.000000,42.000000,299.648486,0.000000,108.551532
3000,6782.489349,0.000000,42.000000,298.144308,0.000000,85.236769
3003,6782.489349,0.000000,42.000000,296.640129,0.000000,61.922006
3006,6782.489349,0.000000,42.000000,295.135951,0.000000,38.607242
3011,6782.489349,0.000000,42.000000,292.628987,0.000000,359.749304
3014,6782.489349,0.000000,42.000000,291.124809,0.000000,336.434540
3017,6782.489349,0.000000,42.000000,289.620631,0.000000,313.119777
3020,6782.489349,0.000000,42.000000,288.116453,0.000000,289.805014
3025,6782.489349,0.000000,42.000000,285.609489,0.000000,250.947075
3028,6782.489349,0.000000,42.000000,284.105310,0.000000,227.632312
3031,6782.489349,0.000000,42.000000,282.601132,0.000000,204.317549
3034,6782.489349,0.000000,42.000000,281.096954,0.000000,181.002786
3037,6782.489349,0.000000,42.000000,279.592776,0.000000,157.688022
3039,6782.489349,0.000000,42.000000,278.589990,0.000000,142.144847
3042,6782.489349,0.000000,42.000000,277.085812,0.000000,118.830084
3045,6782.489349,0.000000,42.000000,275.581634,0.000000,95.515320
3048,6782.489349,0.000000,42.000000,274.077455,0.000000,72.200557
3051,6782.489349,0.000000,42.000000,272.573277,0.000000,48.885794
3056,6782.489349,0.000000,42.000000,270.066313,0.000000,10.027855
3059,6782.489349,0.000000,42.000000,268.562135,0.000000,346.713092
3062,6782.489349,0.000000,42.000000,267.057957,0.000000,323.398329
3065,6782.489349,0.000000,42.000000,265.553778,0.000000,300.083565
3070,6782.489349,0.000000,42.000000,263.046815,0.000000,261.225627
3073,6782.489349,0.000000,42.000000,261.542636,0.000000,237.910864
3076,6782.489349,0.000000,42.000000,260.038458,0.000000,214.596100
3079,6782.489349,0.000000,42.000000,258.534280,0.000000,191.281337
3084,6782.489349,0.000000,42.000000,256.027316,0.000000,152.423398
3087,6782.489349,0.000000,42.000000,254.523138,0.000000,129.108635
3090,6782.489349,0.000000,42.000000,253.018959,0.000000,105.793872
3093,6782.489349,0.000000,42.000000,251.514781,0.000000,82.479109
3096,6782.489349,0.000000,42.000000,250.010603,0.000000,59.164345
3101,6782.489349,0.000000,42.000000,247.503639,0.000000,20.306407
3104,6782.489349,0.000000,42.000000,245.999461,0.000000,356.991643
3107,6782.489349,0.000000,42.000000,244.495283,0.000000,333.676880
3110,6782.489349,0.000000,42.000000,242.991104,0.000000,310.362117
3112,6782.489349,0.000000,42.000000,241.988319,0.000000,294.818942
3115,6782.489349,0.000000,42.000000,240.484141,0.000000,271.504178
3118,6782.489349,0.000000,42.000000,238.979962,0.000000,248.189415
3121,6782.489349,0.000000,42.000000,237.475784,0.000000,224.874652
3124,6782.489349,0.000000,42.000000,235.971606,0.000000,201.559889
3129,6782.489349,0.000000,42.000000,233.464642,0.000000,162.701950
3132,6782.489349,0.000000,42.000000,231.960464,0.000000,139.387187
3135,6782.489349,0.000000,42.000000,230.456285,0.000000,116.072423
3138,6782.489349,0.000000,42.000000,228.952107,0.000000,92.757660
3141,6782.489349,0.000000,42.000000,227.447929,0.000000,69.442897
3143,6782.489349,0.000000,42.000000,226.445143,0.000000,53.899721
3146,6782.489349,0.000000,42.000000,224.940965,0.000000,30.584958
3149,6782.489349,0.000000,42.000000,223.436787,0.000000,7.270195
3152,6782.489349,0.000000,42.000000,221.932609,0.000000,343.955432
3155,6782.489349,0.000000,42.000000,220.428430,0.000000,320.640669
3157,6782.489349,0.000000,42.000000,219.425645,0.000000,305.097493
3160,6782.489349,0.000000,42.000000,217.921466,0.000000,281.782730
