
Gurobi 13.0.2 (linux64) logging started Wed Jul  1 05:55:58 2026

Set parameter LogFile to value "/tmp/sweep_20260701_010247_iran_alt400km_s2_i2_v6_gurobi.log"
Set parameter Method to value 1
Set parameter NodefileStart to value 4
Set parameter RINS to value 50
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 16 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  18000
MIPGap  0.001
Method  1
LPWarmStart  1
Heuristics  0.2
MIPFocus  1
NodefileStart  4
RINS  50
Symmetry  2
Cuts  2
CoverCuts  2
LogToConsole  0

Academic license 2812613 - for non-commercial use only - registered to no___@gatech.edu
Optimize a model with 63184 rows, 14360 columns and 7465764 nonzeros (Min)
Model fingerprint: 0x2bf58aa9
Model has 14360 linear objective coefficients
Variable types: 0 continuous, 14360 integer (14360 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]

Found heuristic solution: objective 458.0000000
Presolve removed 0 rows and 0 columns (presolve time = 5s)...
Presolve removed 0 rows and 0 columns (presolve time = 10s)...
Presolve removed 8616 rows and 0 columns (presolve time = 15s)...
Presolve removed 8616 rows and 0 columns (presolve time = 21s)...
Presolve removed 8616 rows and 0 columns (presolve time = 25s)...
Presolve removed 8616 rows and 0 columns (presolve time = 30s)...
Presolve removed 8616 rows and 0 columns (presolve time = 35s)...
Presolve removed 8616 rows and 0 columns (presolve time = 40s)...
Presolve removed 8616 rows and 0 columns (presolve time = 45s)...
Presolve removed 8616 rows and 0 columns (presolve time = 50s)...
Presolve removed 8616 rows and 0 columns (presolve time = 55s)...
Presolve removed 8616 rows and 0 columns (presolve time = 60s)...
Presolve removed 8616 rows and 0 columns (presolve time = 65s)...
Presolve removed 8616 rows and 0 columns (presolve time = 70s)...
Presolve removed 8616 rows and 0 columns (presolve time = 75s)...
Presolve removed 8616 rows and 0 columns
Presolve time: 79.52s
Presolved: 54568 rows, 14360 columns, 6414612 nonzeros
Variable types: 0 continuous, 14360 integer (14360 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   5.456800e+04   0.000000e+00     80s
Warning: Markowitz tolerance tightened to 0.125
    3051    1.0516439e+02   9.767583e+05   0.000000e+00     85s
    4547    1.1117350e+02   5.038807e+05   0.000000e+00     90s
    5907    1.1583192e+02   2.894600e+05   0.000000e+00     95s
    7119    1.1873154e+02   2.456930e+05   0.000000e+00    100s
    8328    1.2125692e+02   2.187290e+05   0.000000e+00    106s
    9462    1.2309775e+02   8.374012e+05   0.000000e+00    111s
   10356    1.2444868e+02   8.837034e+05   0.000000e+00    115s
   11276    1.2598145e+02   1.849191e+05   0.000000e+00    120s
   12156    1.2724728e+02   2.142673e+05   0.000000e+00    125s
   13036    1.2838085e+02   1.382509e+06   0.000000e+00    130s
   13896    1.2932260e+02   1.123594e+05   0.000000e+00    136s
   14616    1.3002635e+02   8.831931e+05   0.000000e+00    140s
   15456    1.3099780e+02   2.849824e+05   0.000000e+00    146s
   16176    1.3168102e+02   8.251480e+06   0.000000e+00    151s
   16886    1.3220973e+02   1.064807e+05   0.000000e+00    155s
   17586    1.3280991e+02   6.770795e+04   0.000000e+00    160s
   18256    1.3334568e+02   1.024443e+05   0.000000e+00    165s
   18936    1.3386031e+02   5.135636e+05   0.000000e+00    170s
   19626    1.3436345e+02   8.895707e+04   0.000000e+00    175s
   20286    1.3482725e+02   1.718986e+05   0.000000e+00    181s
   20836    1.3525141e+02   9.943591e+04   0.000000e+00    185s
   21496    1.3578176e+02   1.383546e+05   0.000000e+00    190s
   22046    1.3620962e+02   6.589390e+04   0.000000e+00    195s
   22706    1.3662026e+02   1.419413e+06   0.000000e+00    201s
   23256    1.3691748e+02   9.686625e+04   0.000000e+00    205s
   23896    1.3737871e+02   1.382732e+05   0.000000e+00    211s
   24456    1.3769031e+02   9.497703e+04   0.000000e+00    216s
   25006    1.3803493e+02   9.120715e+04   0.000000e+00    221s
   25556    1.3838207e+02   2.408375e+05   0.000000e+00    226s
   26096    1.3869228e+02   1.614188e+06   0.000000e+00    231s
   26646    1.3895041e+02   2.343553e+05   0.000000e+00    236s
   27176    1.3922085e+02   7.683410e+04   0.000000e+00    241s
   27716    1.3948995e+02   2.415519e+06   0.000000e+00    246s
   28166    1.3970479e+02   7.131760e+04   0.000000e+00    250s
   28716    1.3998582e+02   4.178995e+05   0.000000e+00    256s
