slot_index,a_km,e,i_deg,raan_deg,argp_deg,arg_lat_deg
12206,6640.441128,0.000000,34.000000,6.750000,0.000000,0.000000
12207,6640.441128,0.000000,34.000000,7.251393,0.000000,351.977716
12208,6640.441128,0.000000,34.000000,7.752786,0.000000,343.955432
12209,6640.441128,0.000000,34.000000,8.254178,0.000000,335.933148
12211,6640.441128,0.000000,34.000000,9.256964,0.000000,319.888579
12212,6640.441128,0.000000,34.000000,9.758357,0.000000,311.866295
12213,6640.441128,0.000000,34.000000,10.259749,0.000000,303.844011
12214,6640.441128,0.000000,34.000000,10.761142,0.000000,295.821727
12215,6640.441128,0.000000,34.000000,11.262535,0.000000,287.799443
12218,6640.441128,0.000000,34.000000,12.766713,0.000000,263.732591
12220,6640.441128,0.000000,34.000000,13.769499,0.000000,247.688022
12221,6640.441128,0.000000,34.000000,14.270891,0.000000,239.665738
12223,6640.441128,0.000000,34.000000,15.273677,0.000000,223.621170
12224,6640.441128,0.000000,34.000000,15.775070,0.000000,215.598886
12226,6640.441128,0.000000,34.000000,16.777855,0.000000,199.554318
12227,6640.441128,0.000000,34.000000,17.279248,0.000000,191.532033
12229,6640.441128,0.000000,34.000000,18.282033,0.000000,175.487465
12230,6640.441128,0.000000,34.000000,18.783426,0.000000,167.465181
12232,6640.441128,0.000000,34.000000,19.786212,0.000000,151.420613
12233,6640.441128,0.000000,34.000000,20.287604,0.000000,143.398329
12234,6640.441128,0.000000,34.000000,20.788997,0.000000,135.376045
12235,6640.441128,0.000000,34.000000,21.290390,0.000000,127.353760
12237,6640.441128,0.000000,34.000000,22.293175,0.000000,111.309192
12238,6640.441128,0.000000,34.000000,22.794568,0.000000,103.286908
12239,6640.441128,0.000000,34.000000,23.295961,0.000000,95.264624
12240,6640.441128,0.000000,34.000000,23.797354,0.000000,87.242340
12241,6640.441128,0.000000,34.000000,24.298747,0.000000,79.220056
12244,6640.441128,0.000000,34.000000,25.802925,0.000000,55.153203
12245,6640.441128,0.000000,34.000000,26.304318,0.000000,47.130919
12246,6640.441128,0.000000,34.000000,26.805710,0.000000,39.108635
12248,6640.441128,0.000000,34.000000,27.808496,0.000000,23.064067
12251,6640.441128,0.000000,34.000000,29.312674,0.000000,358.997214
12253,6640.441128,0.000000,34.000000,30.315460,0.000000,342.952646
12257,6640.441128,0.000000,34.000000,32.321031,0.000000,310.863510
12258,6640.441128,0.000000,34.000000,32.822423,0.000000,302.841226
12260,6640.441128,0.000000,34.000000,33.825209,0.000000,286.796657
12263,6640.441128,0.000000,34.000000,35.329387,0.000000,262.729805
12264,6640.441128,0.000000,34.000000,35.830780,0.000000,254.707521
12265,6640.441128,0.000000,34.000000,36.332173,0.000000,246.685237
12266,6640.441128,0.000000,34.000000,36.833565,0.000000,238.662953
12268,6640.441128,0.000000,34.000000,37.836351,0.000000,222.618384
12269,6640.441128,0.000000,34.000000,38.337744,0.000000,214.596100
12270,6640.441128,0.000000,34.000000,38.839136,0.000000,206.573816
12272,6640.441128,0.000000,34.000000,39.841922,0.000000,190.529248
12273,6640.441128,0.000000,34.000000,40.343315,0.000000,182.506964
12275,6640.441128,0.000000,34.000000,41.346100,0.000000,166.462396
12277,6640.441128,0.000000,34.000000,42.348886,0.000000,150.417827
12278,6640.441128,0.000000,34.000000,42.850279,0.000000,142.395543
12279,6640.441128,0.000000,34.000000,43.351671,0.000000,134.373259
12282,6640.441128,0.000000,34.000000,44.855850,0.000000,110.306407
12283,6640.441128,0.000000,34.000000,45.357242,0.000000,102.284123
12284,6640.441128,0.000000,34.000000,45.858635,0.000000,94.261838
12285,6640.441128,0.000000,34.000000,46.360028,0.000000,86.239554
12286,6640.441128,0.000000,34.000000,46.861421,0.000000,78.217270
12287,6640.441128,0.000000,34.000000,47.362813,0.000000,70.194986
12288,6640.441128,0.000000,34.000000,47.864206,0.000000,62.172702
12289,6640.441128,0.000000,34.000000,48.365599,0.000000,54.150418
12290,6640.441128,0.000000,34.000000,48.866992,0.000000,46.128134
