
Gurobi 13.0.2 (linux64) logging started Wed Jul 22 14:06:05 2026

Set parameter LogFile to value "/tmp/sweep_20260721_030322_iran_alt400km_s75_i1_v4_gurobi.log"
Set parameter Method to value 1
Set parameter NodefileStart to value 4
Set parameter RINS to value 50
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 16 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0.001
Method  1
LPWarmStart  1
Heuristics  0.2
MIPFocus  1
NodefileStart  4
RINS  50
Symmetry  2
Cuts  2
CoverCuts  2
LogToConsole  0

Academic license 2812613 - for non-commercial use only - registered to no___@gatech.edu
Optimize a model with 63184 rows, 50260 columns and 8616000 nonzeros (Min)
Model fingerprint: 0x86e3c7ab
Model has 50260 linear objective coefficients
Variable types: 0 continuous, 50260 integer (50260 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [8e+01, 8e+01]

Found heuristic solution: objective 34864.000000
Presolve removed 0 rows and 0 columns (presolve time = 5s)...
Presolve removed 0 rows and 0 columns (presolve time = 10s)...
Presolve removed 0 rows and 0 columns (presolve time = 15s)...
Presolve removed 0 rows and 0 columns (presolve time = 20s)...
Presolve removed 0 rows and 0 columns (presolve time = 25s)...
Presolve removed 0 rows and 0 columns (presolve time = 30s)...
Presolve removed 0 rows and 0 columns (presolve time = 35s)...
Presolve removed 0 rows and 0 columns (presolve time = 40s)...
Presolve removed 0 rows and 0 columns (presolve time = 45s)...
Presolve removed 0 rows and 0 columns (presolve time = 50s)...
Presolve removed 0 rows and 0 columns (presolve time = 55s)...
Presolve removed 0 rows and 0 columns (presolve time = 60s)...
Presolve removed 0 rows and 0 columns (presolve time = 65s)...
Presolve removed 0 rows and 0 columns (presolve time = 70s)...
Presolve removed 0 rows and 0 columns (presolve time = 75s)...
Presolve removed 0 rows and 0 columns (presolve time = 80s)...
Presolve removed 0 rows and 0 columns (presolve time = 85s)...
Presolve removed 0 rows and 0 columns (presolve time = 90s)...
Presolve time: 91.42s
Presolved: 63184 rows, 50260 columns, 8616000 nonzeros
Variable types: 0 continuous, 50260 integer (50260 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   4.738800e+06   0.000000e+00     93s
    1854    1.9567425e+04   2.527049e+06   0.000000e+00     95s
Warning: Markowitz tolerance tightened to 0.03125
    3304    2.0295969e+04   2.170198e+07   0.000000e+00    101s
    4319    2.0452444e+04   2.975090e+07   0.000000e+00    106s
    5189    2.0644934e+04   6.139475e+06   0.000000e+00    111s
    5909    2.0765429e+04   4.862734e+06   0.000000e+00    115s
Warning: Markowitz tolerance tightened to 0.0625
    6634    2.0878376e+04   1.178734e+07   0.000000e+00    120s
    7359    2.0997987e+04   1.630272e+07   0.000000e+00    125s
    7959    2.1102452e+04   7.825345e+06   0.000000e+00    130s
    8609    2.1186994e+04   1.254936e+06   0.000000e+00    135s
    9239    2.1263814e+04   8.369074e+06   0.000000e+00    141s
    9739    2.1321241e+04   1.234958e+07   0.000000e+00    145s
   10339    2.1393789e+04   2.494828e+06   0.000000e+00    151s
   10809    2.1434605e+04   9.601030e+06   0.000000e+00    155s
   11259    2.1481073e+04   4.340239e+06   0.000000e+00    160s
   11809    2.1535654e+04   2.798486e+06   0.000000e+00    166s
   12259    2.1571583e+04   6.809669e+06   0.000000e+00    171s
   12709    2.1605819e+04   5.678507e+07   0.000000e+00    176s
   13159    2.1640336e+04   1.101118e+06   0.000000e+00    181s
   13609    2.1671442e+04   1.299321e+06   0.000000e+00    186s
   14059    2.1708388e+04   2.540893e+07   0.000000e+00    191s
   14419    2.1734413e+04   5.860507e+06   0.000000e+00    195s
   14869    2.1768954e+04   2.063269e+06   0.000000e+00    201s
   15319    2.1798482e+04   7.452621e+05   0.000000e+00    206s
   15669    2.1820099e+04   5.389538e+06   0.000000e+00    210s
   16079    2.1847149e+04   5.712037e+06   0.000000e+00    215s
   16479    2.1872168e+04   9.479323e+05   0.000000e+00    220s
   16879    2.1896150e+04   2.845184e+06   0.000000e+00    226s
   17279    2.1917792e+04   1.886359e+06   0.000000e+00    231s
   17679    2.1941080e+04   1.526554e+06   0.000000e+00    236s
   18079    2.1963257e+04   1.543839e+06   0.000000e+00    241s
   18399    2.1980377e+04   4.010752e+06   0.000000e+00    245s
   18799    2.2003601e+04   3.305221e+06   0.000000e+00    251s
   19199    2.2023862e+04   7.687164e+05   0.000000e+00    256s
   19519    2.2038899e+04   2.338879e+06   0.000000e+00    260s
   19919    2.2057694e+04   7.774177e+06   0.000000e+00    266s
   20239    2.2070304e+04   1.857522e+06   0.000000e+00    270s
   20619    2.2087057e+04   2.346516e+06   0.000000e+00    276s
   20919    2.2099629e+04   5.586827e+06   0.000000e+00    280s
   21289    2.2115360e+04   5.730853e+05   0.000000e+00    286s
   21579    2.2128676e+04   1.218672e+06   0.000000e+00    290s
   21929    2.2144354e+04   3.647742e+06   0.000000e+00    296s
   22279    2.2158272e+04   2.166049e+07   0.000000e+00    301s
   22559    2.2168934e+04   6.124086e+06   0.000000e+00    305s
   22909    2.2183544e+04   6.439490e+05   0.000000e+00    311s
   23189    2.2194709e+04   2.023810e+06   0.000000e+00    315s
   23539    2.2207457e+04   5.251044e+06   0.000000e+00    321s
   23819    2.2217853e+04   2.064883e+06   0.000000e+00    326s
   24099    2.2229137e+04   1.601581e+06   0.000000e+00    330s
   24449    2.2241807e+04   1.665255e+06   0.000000e+00    336s
   24729    2.2250942e+04   7.821676e+05   0.000000e+00    340s
   25009    2.2260275e+04   1.597830e+06   0.000000e+00    345s
   25359    2.2271721e+04   2.443475e+07   0.000000e+00    351s
   25639    2.2281590e+04   4.611596e+06   0.000000e+00    356s
   25919    2.2290975e+04   6.862640e+05   0.000000e+00    361s
   26199    2.2298817e+04   7.226979e+05   0.000000e+00    365s
   26479    2.2307241e+04   3.875197e+05   0.000000e+00    370s
   26829    2.2318420e+04   1.078772e+06   0.000000e+00    376s
   27109    2.2328022e+04   1.740708e+06   0.000000e+00    381s
   27389    2.2337728e+04   2.378328e+06   0.000000e+00    386s
   27669    2.2346627e+04   1.966797e+06   0.000000e+00    391s
   27949    2.2354577e+04   7.304472e+06   0.000000e+00    396s
   28229    2.2363000e+04   1.668857e+06   0.000000e+00    401s
   28509    2.2370184e+04   2.822702e+06   0.000000e+00    406s
   28719    2.2376761e+04   2.415136e+06   0.000000e+00    410s
   28999    2.2383981e+04   4.514802e+06   0.000000e+00    415s
   29279    2.2392442e+04   1.257631e+06   0.000000e+00    421s
   29529    2.2399267e+04   4.409929e+06   0.000000e+00    425s
   29809    2.2406465e+04   8.004599e+05   0.000000e+00    430s
   30089    2.2413783e+04   1.201570e+07   0.000000e+00    436s
   30399    2.2421122e+04   1.146940e+06   0.000000e+00    441s
   30639    2.2426580e+04   8.978322e+05   0.000000e+00    446s
   30939    2.2433099e+04   2.502844e+06   0.000000e+00    452s
   31179    2.2438736e+04   1.887922e+06   0.000000e+00    456s
   31399    2.2442410e+04   3.806259e+06   0.000000e+00    460s
   31679    2.2448421e+04   1.422538e+06   0.000000e+00    466s
   31949    2.2455152e+04   4.172599e+06   0.000000e+00    471s
   32149    2.2459390e+04   5.975517e+05   0.000000e+00    475s
   32389    2.2464417e+04   3.855186e+06   0.000000e+00    480s
   32659    2.2469327e+04   5.776569e+06   0.000000e+00    486s
   32919    2.2475335e+04   1.023751e+06   0.000000e+00    491s
   33219    2.2482331e+04   1.018550e+06   0.000000e+00    497s
   33439    2.2487204e+04   2.697988e+06   0.000000e+00    501s
   33639    2.2491927e+04   7.786253e+06   0.000000e+00    505s
   33939    2.2497931e+04   8.366116e+05   0.000000e+00    511s
   34159    2.2502377e+04   1.123075e+06   0.000000e+00    515s
   34489    2.2508882e+04   5.162498e+05   0.000000e+00    522s
   34709    2.2513418e+04   1.827255e+06   0.000000e+00    526s
   34929    2.2517780e+04   7.113355e+05   0.000000e+00    531s
   35149    2.2521777e+04   1.335159e+06   0.000000e+00    535s
   35479    2.2527414e+04   1.191343e+07   0.000000e+00    542s
   35689    2.2531177e+04   1.049923e+06   0.000000e+00    546s
   35899    2.2534722e+04   6.226253e+06   0.000000e+00    550s
   36219    2.2539936e+04   6.213638e+06   0.000000e+00    557s
   36429    2.2542633e+04   3.875862e+05   0.000000e+00    561s
   36629    2.2545801e+04   5.307508e+06   0.000000e+00    565s
   36949    2.2551388e+04   9.518664e+05   0.000000e+00    572s
   37159    2.2555151e+04   4.987013e+05   0.000000e+00    576s
   37369    2.2558348e+04   9.720123e+05   0.000000e+00    581s
   37569    2.2561724e+04   1.096467e+06   0.000000e+00    585s
   37869    2.2567265e+04   6.351354e+05   0.000000e+00    592s
   38089    2.2571065e+04   2.627318e+06   0.000000e+00    596s
   38289    2.2574534e+04   8.715833e+05   0.000000e+00    600s
   38589    2.2579245e+04   1.366998e+06   0.000000e+00    607s
   38789    2.2582235e+04   6.286608e+05   0.000000e+00    611s
   38989    2.2585042e+04   1.659092e+07   0.000000e+00    616s
   39199    2.2588099e+04   4.025112e+06   0.000000e+00    620s
   39499    2.2592692e+04   3.188459e+06   0.000000e+00    627s
   39699    2.2595546e+04   3.491007e+05   0.000000e+00    631s
   39899    2.2598093e+04   2.007237e+06   0.000000e+00    636s
   40199    2.2601629e+04   9.870747e+05   0.000000e+00    642s
   40399    2.2604740e+04   2.685437e+05   0.000000e+00    647s
   40599    2.2607510e+04   3.442133e+06   0.000000e+00    651s
   40799    2.2610171e+04   1.562563e+06   0.000000e+00    656s
   40999    2.2613100e+04   7.363750e+05   0.000000e+00    660s
   41299    2.2617524e+04   6.331393e+05   0.000000e+00    667s
   41499    2.2620974e+04   6.418558e+06   0.000000e+00    672s
   41699    2.2623785e+04   2.045977e+06   0.000000e+00    676s
   41899    2.2626227e+04   6.430074e+05   0.000000e+00    681s
   42099    2.2629639e+04   1.847909e+06   0.000000e+00    685s
   42399    2.2634102e+04   1.091832e+06   0.000000e+00    692s
