slot_index,a_km,e,i_deg,raan_deg,argp_deg,arg_lat_deg
5744,6782.489349,0.000000,33.000000,4.645161,0.000000,0.000000
5745,6782.489349,0.000000,33.000000,5.146554,0.000000,352.228412
5746,6782.489349,0.000000,33.000000,5.647947,0.000000,344.456825
5747,6782.489349,0.000000,33.000000,6.149340,0.000000,336.685237
5748,6782.489349,0.000000,33.000000,6.650732,0.000000,328.913649
5749,6782.489349,0.000000,33.000000,7.152125,0.000000,321.142061
5750,6782.489349,0.000000,33.000000,7.653518,0.000000,313.370474
5751,6782.489349,0.000000,33.000000,8.154911,0.000000,305.598886
5752,6782.489349,0.000000,33.000000,8.656303,0.000000,297.827298
5753,6782.489349,0.000000,33.000000,9.157696,0.000000,290.055710
5754,6782.489349,0.000000,33.000000,9.659089,0.000000,282.284123
5755,6782.489349,0.000000,33.000000,10.160482,0.000000,274.512535
5756,6782.489349,0.000000,33.000000,10.661874,0.000000,266.740947
5757,6782.489349,0.000000,33.000000,11.163267,0.000000,258.969359
5758,6782.489349,0.000000,33.000000,11.664660,0.000000,251.197772
5759,6782.489349,0.000000,33.000000,12.166053,0.000000,243.426184
5760,6782.489349,0.000000,33.000000,12.667445,0.000000,235.654596
5761,6782.489349,0.000000,33.000000,13.168838,0.000000,227.883008
5762,6782.489349,0.000000,33.000000,13.670231,0.000000,220.111421
5763,6782.489349,0.000000,33.000000,14.171624,0.000000,212.339833
5764,6782.489349,0.000000,33.000000,14.673016,0.000000,204.568245
5765,6782.489349,0.000000,33.000000,15.174409,0.000000,196.796657
5766,6782.489349,0.000000,33.000000,15.675802,0.000000,189.025070
5767,6782.489349,0.000000,33.000000,16.177195,0.000000,181.253482
5768,6782.489349,0.000000,33.000000,16.678587,0.000000,173.481894
5769,6782.489349,0.000000,33.000000,17.179980,0.000000,165.710306
5770,6782.489349,0.000000,33.000000,17.681373,0.000000,157.938719
5771,6782.489349,0.000000,33.000000,18.182766,0.000000,150.167131
5772,6782.489349,0.000000,33.000000,18.684159,0.000000,142.395543
5773,6782.489349,0.000000,33.000000,19.185551,0.000000,134.623955
5774,6782.489349,0.000000,33.000000,19.686944,0.000000,126.852368
5775,6782.489349,0.000000,33.000000,20.188337,0.000000,119.080780
5776,6782.489349,0.000000,33.000000,20.689730,0.000000,111.309192
5777,6782.489349,0.000000,33.000000,21.191122,0.000000,103.537604
5778,6782.489349,0.000000,33.000000,21.692515,0.000000,95.766017
5779,6782.489349,0.000000,33.000000,22.193908,0.000000,87.994429
5780,6782.489349,0.000000,33.000000,22.695301,0.000000,80.222841
5781,6782.489349,0.000000,33.000000,23.196693,0.000000,72.451253
5782,6782.489349,0.000000,33.000000,23.698086,0.000000,64.679666
5783,6782.489349,0.000000,33.000000,24.199479,0.000000,56.908078
5784,6782.489349,0.000000,33.000000,24.700872,0.000000,49.136490
5785,6782.489349,0.000000,33.000000,25.202264,0.000000,41.364903
5786,6782.489349,0.000000,33.000000,25.703657,0.000000,33.593315
5787,6782.489349,0.000000,33.000000,26.205050,0.000000,25.821727
5788,6782.489349,0.000000,33.000000,26.706443,0.000000,18.050139
5789,6782.489349,0.000000,33.000000,27.207835,0.000000,10.278552
5790,6782.489349,0.000000,33.000000,27.709228,0.000000,2.506964
5791,6782.489349,0.000000,33.000000,28.210621,0.000000,354.735376
5792,6782.489349,0.000000,33.000000,28.712014,0.000000,346.963788
5793,6782.489349,0.000000,33.000000,29.213406,0.000000,339.192201
5794,6782.489349,0.000000,33.000000,29.714799,0.000000,331.420613
5795,6782.489349,0.000000,33.000000,30.216192,0.000000,323.649025
5796,6782.489349,0.000000,33.000000,30.717585,0.000000,315.877437
5797,6782.489349,0.000000,33.000000,31.218977,0.000000,308.105850
5798,6782.489349,0.000000,33.000000,31.720370,0.000000,300.334262
5799,6782.489349,0.000000,33.000000,32.221763,0.000000,292.562674
5800,6782.489349,0.000000,33.000000,32.723156,0.000000,284.791086
5801,6782.489349,0.000000,33.000000,33.224548,0.000000,277.019499
5802,6782.489349,0.000000,33.000000,33.725941,0.000000,269.247911
5803,6782.489349,0.000000,33.000000,34.227334,0.000000,261.476323
5804,6782.489349,0.000000,33.000000,34.728727,0.000000,253.704735
5805,6782.489349,0.000000,33.000000,35.230120,0.000000,245.933148
