slot_index,a_km,e,i_deg,raan_deg,argp_deg,arg_lat_deg
1439,6782.489349,0.000000,42.000000,1.504178,0.000000,336.685237
1443,6782.489349,0.000000,42.000000,3.509749,0.000000,305.598886
1445,6782.489349,0.000000,42.000000,4.512535,0.000000,290.055710
1467,6782.489349,0.000000,42.000000,15.543175,0.000000,119.080780
1475,6782.489349,0.000000,42.000000,19.554318,0.000000,56.908078
1496,6782.489349,0.000000,42.000000,30.083565,0.000000,253.704735
1500,6782.489349,0.000000,42.000000,32.089136,0.000000,222.618384
1509,6782.489349,0.000000,42.000000,36.601671,0.000000,152.674095
1511,6782.489349,0.000000,42.000000,37.604457,0.000000,137.130919
1514,6782.489349,0.000000,42.000000,39.108635,0.000000,113.816156
1515,6782.489349,0.000000,42.000000,39.610028,0.000000,106.044568
1518,6782.489349,0.000000,42.000000,41.114206,0.000000,82.729805
1528,6782.489349,0.000000,42.000000,46.128134,0.000000,5.013928
1529,6782.489349,0.000000,42.000000,46.629526,0.000000,357.242340
1560,6782.489349,0.000000,42.000000,62.172702,0.000000,116.323120
1561,6782.489349,0.000000,42.000000,62.674095,0.000000,108.551532
1565,6782.489349,0.000000,42.000000,64.679666,0.000000,77.465181
1566,6782.489349,0.000000,42.000000,65.181058,0.000000,69.693593
1576,6782.489349,0.000000,42.000000,70.194986,0.000000,351.977716
1577,6782.489349,0.000000,42.000000,70.696379,0.000000,344.206128
1584,6782.489349,0.000000,42.000000,74.206128,0.000000,289.805014
1587,6782.489349,0.000000,42.000000,75.710306,0.000000,266.490251
1591,6782.489349,0.000000,42.000000,77.715877,0.000000,235.403900
1609,6782.489349,0.000000,42.000000,86.740947,0.000000,95.515320
1627,6782.489349,0.000000,42.000000,95.766017,0.000000,315.626741
1648,6782.489349,0.000000,42.000000,106.295265,0.000000,152.423398
1664,6782.489349,0.000000,42.000000,114.317549,0.000000,28.077994
1685,6782.489349,0.000000,42.000000,124.846797,0.000000,224.874652
1696,6782.489349,0.000000,42.000000,130.362117,0.000000,139.387187
1697,6782.489349,0.000000,42.000000,130.863510,0.000000,131.615599
1699,6782.489349,0.000000,42.000000,131.866295,0.000000,116.072423
1710,6782.489349,0.000000,42.000000,137.381616,0.000000,30.584958
1719,6782.489349,0.000000,42.000000,141.894150,0.000000,320.640669
1726,6782.489349,0.000000,42.000000,145.403900,0.000000,266.239554
1731,6782.489349,0.000000,42.000000,147.910864,0.000000,227.381616
1732,6782.489349,0.000000,42.000000,148.412256,0.000000,219.610028
1733,6782.489349,0.000000,42.000000,148.913649,0.000000,211.838440
1738,6782.489349,0.000000,42.000000,151.420613,0.000000,172.980501
1745,6782.489349,0.000000,42.000000,154.930362,0.000000,118.579387
1748,6782.489349,0.000000,42.000000,156.434540,0.000000,95.264624
1762,6782.489349,0.000000,42.000000,163.454039,0.000000,346.462396
1774,6782.489349,0.000000,42.000000,169.470752,0.000000,253.203343
1775,6782.489349,0.000000,42.000000,169.972145,0.000000,245.431755
1779,6782.489349,0.000000,42.000000,171.977716,0.000000,214.345404
1780,6782.489349,0.000000,42.000000,172.479109,0.000000,206.573816
1786,6782.489349,0.000000,42.000000,175.487465,0.000000,159.944290
1789,6782.489349,0.000000,42.000000,176.991643,0.000000,136.629526
1791,6782.489349,0.000000,42.000000,177.994429,0.000000,121.086351
1801,6782.489349,0.000000,42.000000,183.008357,0.000000,43.370474
1819,6782.489349,0.000000,42.000000,192.033426,0.000000,263.481894
1820,6782.489349,0.000000,42.000000,192.534819,0.000000,255.710306
1826,6782.489349,0.000000,42.000000,195.543175,0.000000,209.080780
1836,6782.489349,0.000000,42.000000,200.557103,0.000000,131.364903
1848,6782.489349,0.000000,42.000000,206.573816,0.000000,38.105850
1850,6782.489349,0.000000,42.000000,207.576602,0.000000,22.562674
1856,6782.489349,0.000000,42.000000,210.584958,0.000000,335.933148
1858,6782.489349,0.000000,42.000000,211.587744,0.000000,320.389972
1865,6782.489349,0.000000,42.000000,215.097493,0.000000,265.988858
1867,6782.489349,0.000000,42.000000,216.100279,0.000000,250.445682
1869,6782.489349,0.000000,42.000000,217.103064,0.000000,234.902507
1881,6782.489349,0.000000,42.000000,223.119777,0.000000,141.643454
1896,6782.489349,0.000000,42.000000,230.640669,0.000000,25.069638
1905,6782.489349,0.000000,42.000000,235.153203,0.000000,315.125348
1915,6782.489349,0.000000,42.000000,240.167131,0.000000,237.409471
1920,6782.489349,0.000000,42.000000,242.674095,0.000000,198.551532
1931,6782.489349,0.000000,42.000000,248.189415,0.000000,113.064067
1936,6782.489349,0.000000,42.000000,250.696379,0.000000,74.206128
1943,6782.489349,0.000000,42.000000,254.206128,0.000000,19.805014
1958,6782.489349,0.000000,42.000000,261.727019,0.000000,263.231198
1962,6782.489349,0.000000,42.000000,263.732591,0.000000,232.144847
1967,6782.489349,0.000000,42.000000,266.239554,0.000000,193.286908
1975,6782.489349,0.000000,42.000000,270.250696,0.000000,131.114206
1983,6782.489349,0.000000,42.000000,274.261838,0.000000,68.941504
1989,6782.489349,0.000000,42.000000,277.270195,0.000000,22.311978
1990,6782.489349,0.000000,42.000000,277.771588,0.000000,14.540390
1992,6782.489349,0.000000,42.000000,278.774373,0.000000,358.997214
1996,6782.489349,0.000000,42.000000,280.779944,0.000000,327.910864
1997,6782.489349,0.000000,42.000000,281.281337,0.000000,320.139276
2007,6782.489349,0.000000,42.000000,286.295265,0.000000,242.423398
2009,6782.489349,0.000000,42.000000,287.298050,0.000000,226.880223
2010,6782.489349,0.000000,42.000000,287.799443,0.000000,219.108635
2014,6782.489349,0.000000,42.000000,289.805014,0.000000,188.022284
2017,6782.489349,0.000000,42.000000,291.309192,0.000000,164.707521
2019,6782.489349,0.000000,42.000000,292.311978,0.000000,149.164345
2026,6782.489349,0.000000,42.000000,295.821727,0.000000,94.763231
2030,6782.489349,0.000000,42.000000,297.827298,0.000000,63.676880
2031,6782.489349,0.000000,42.000000,298.328691,0.000000,55.905292
2040,6782.489349,0.000000,42.000000,302.841226,0.000000,345.961003
2059,6782.489349,0.000000,42.000000,312.367688,0.000000,198.300836
2060,6782.489349,0.000000,42.000000,312.869081,0.000000,190.529248
2064,6782.489349,0.000000,42.000000,314.874652,0.000000,159.442897
2065,6782.489349,0.000000,42.000000,315.376045,0.000000,151.671309
2095,6782.489349,0.000000,42.000000,330.417827,0.000000,278.523677
2099,6782.489349,0.000000,42.000000,332.423398,0.000000,247.437326
2100,6782.489349,0.000000,42.000000,332.924791,0.000000,239.665738
2102,6782.489349,0.000000,42.000000,333.927577,0.000000,224.122563
2108,6782.489349,0.000000,42.000000,336.935933,0.000000,177.493036
2109,6782.489349,0.000000,42.000000,337.437326,0.000000,169.721448
2129,6782.489349,0.000000,42.000000,347.465181,0.000000,14.289694
2134,6782.489349,0.000000,42.000000,349.972145,0.000000,335.431755
2138,6782.489349,0.000000,42.000000,351.977716,0.000000,304.345404
2140,6782.489349,0.000000,42.000000,352.980501,0.000000,288.802228
2143,6782.489349,0.000000,42.000000,354.484680,0.000000,265.487465
2147,6782.489349,0.000000,42.000000,356.490251,0.000000,234.401114
2155,6782.489349,0.000000,42.000000,0.501393,0.000000,172.228412
2186,6782.489349,0.000000,42.000000,16.044568,0.000000,291.309192
2192,6782.489349,0.000000,42.000000,19.052925,0.000000,244.679666
2198,6782.489349,0.000000,42.000000,22.061281,0.000000,198.050139
2238,6782.489349,0.000000,42.000000,42.116992,0.000000,247.186630
2243,6782.489349,0.000000,42.000000,44.623955,0.000000,208.328691
2245,6782.489349,0.000000,42.000000,45.626741,0.000000,192.785515
2257,6782.489349,0.000000,42.000000,51.643454,0.000000,99.526462
2263,6782.489349,0.000000,42.000000,54.651811,0.000000,52.896936
2265,6782.489349,0.000000,42.000000,55.654596,0.000000,37.353760
2276,6782.489349,0.000000,42.000000,61.169916,0.000000,311.866295
2278,6782.489349,0.000000,42.000000,62.172702,0.000000,296.323120
2287,6782.489349,0.000000,42.000000,66.685237,0.000000,226.378830
2300,6782.489349,0.000000,42.000000,73.203343,0.000000,125.348189
2323,6782.489349,0.000000,42.000000,84.735376,0.000000,306.601671
2335,6782.489349,0.000000,42.000000,90.752089,0.000000,213.342618
2338,6782.489349,0.000000,42.000000,92.256267,0.000000,190.027855
2344,6782.489349,0.000000,42.000000,95.264624,0.000000,143.398329
2346,6782.489349,0.000000,42.000000,96.267409,0.000000,127.855153
2353,6782.489349,0.000000,42.000000,99.777159,0.000000,73.454039
2360,6782.489349,0.000000,42.000000,103.286908,0.000000,19.052925
2364,6782.489349,0.000000,42.000000,105.292479,0.000000,347.966574
2367,6782.489349,0.000000,42.000000,106.796657,0.000000,324.651811
2372,6782.489349,0.000000,42.000000,109.303621,0.000000,285.793872
2374,6782.489349,0.000000,42.000000,110.306407,0.000000,270.250696
2408,6782.489349,0.000000,42.000000,127.353760,0.000000,6.016713
2414,6782.489349,0.000000,42.000000,130.362117,0.000000,319.387187
2415,6782.489349,0.000000,42.000000,130.863510,0.000000,311.615599
2419,6782.489349,0.000000,42.000000,132.869081,0.000000,280.529248
2432,6782.489349,0.000000,42.000000,139.387187,0.000000,179.498607
2437,6782.489349,0.000000,42.000000,141.894150,0.000000,140.640669
2445,6782.489349,0.000000,42.000000,145.905292,0.000000,78.467967
