slot_index,a_km,e,i_deg,raan_deg,argp_deg,arg_lat_deg
35401,6782.489349,0.000000,54.000000,109.805014,0.000000,278.022284
35403,6782.489349,0.000000,54.000000,110.807799,0.000000,262.479109
35405,6782.489349,0.000000,54.000000,111.810585,0.000000,246.935933
35407,6782.489349,0.000000,54.000000,112.813370,0.000000,231.392758
35409,6782.489349,0.000000,54.000000,113.816156,0.000000,215.849582
35411,6782.489349,0.000000,54.000000,114.818942,0.000000,200.306407
35413,6782.489349,0.000000,54.000000,115.821727,0.000000,184.763231
35415,6782.489349,0.000000,54.000000,116.824513,0.000000,169.220056
35417,6782.489349,0.000000,54.000000,117.827298,0.000000,153.676880
35419,6782.489349,0.000000,54.000000,118.830084,0.000000,138.133705
35421,6782.489349,0.000000,54.000000,119.832869,0.000000,122.590529
35423,6782.489349,0.000000,54.000000,120.835655,0.000000,107.047354
35425,6782.489349,0.000000,54.000000,121.838440,0.000000,91.504178
35427,6782.489349,0.000000,54.000000,122.841226,0.000000,75.961003
35429,6782.489349,0.000000,54.000000,123.844011,0.000000,60.417827
35431,6782.489349,0.000000,54.000000,124.846797,0.000000,44.874652
35433,6782.489349,0.000000,54.000000,125.849582,0.000000,29.331476
35435,6782.489349,0.000000,54.000000,126.852368,0.000000,13.788301
35437,6782.489349,0.000000,54.000000,127.855153,0.000000,358.245125
35439,6782.489349,0.000000,54.000000,128.857939,0.000000,342.701950
35441,6782.489349,0.000000,54.000000,129.860724,0.000000,327.158774
35443,6782.489349,0.000000,54.000000,130.863510,0.000000,311.615599
35445,6782.489349,0.000000,54.000000,131.866295,0.000000,296.072423
35447,6782.489349,0.000000,54.000000,132.869081,0.000000,280.529248
35449,6782.489349,0.000000,54.000000,133.871866,0.000000,264.986072
35451,6782.489349,0.000000,54.000000,134.874652,0.000000,249.442897
35452,6782.489349,0.000000,54.000000,135.376045,0.000000,241.671309
35454,6782.489349,0.000000,54.000000,136.378830,0.000000,226.128134
35456,6782.489349,0.000000,54.000000,137.381616,0.000000,210.584958
35458,6782.489349,0.000000,54.000000,138.384401,0.000000,195.041783
35460,6782.489349,0.000000,54.000000,139.387187,0.000000,179.498607
35462,6782.489349,0.000000,54.000000,140.389972,0.000000,163.955432
35464,6782.489349,0.000000,54.000000,141.392758,0.000000,148.412256
35466,6782.489349,0.000000,54.000000,142.395543,0.000000,132.869081
35468,6782.489349,0.000000,54.000000,143.398329,0.000000,117.325905
35470,6782.489349,0.000000,54.000000,144.401114,0.000000,101.782730
35472,6782.489349,0.000000,54.000000,145.403900,0.000000,86.239554
35474,6782.489349,0.000000,54.000000,146.406685,0.000000,70.696379
35476,6782.489349,0.000000,54.000000,147.409471,0.000000,55.153203
35478,6782.489349,0.000000,54.000000,148.412256,0.000000,39.610028
35480,6782.489349,0.000000,54.000000,149.415042,0.000000,24.066852
35482,6782.489349,0.000000,54.000000,150.417827,0.000000,8.523677
35484,6782.489349,0.000000,54.000000,151.420613,0.000000,352.980501
35486,6782.489349,0.000000,54.000000,152.423398,0.000000,337.437326
35488,6782.489349,0.000000,54.000000,153.426184,0.000000,321.894150
35490,6782.489349,0.000000,54.000000,154.428969,0.000000,306.350975
35492,6782.489349,0.000000,54.000000,155.431755,0.000000,290.807799
35494,6782.489349,0.000000,54.000000,156.434540,0.000000,275.264624
35496,6782.489349,0.000000,54.000000,157.437326,0.000000,259.721448
35498,6782.489349,0.000000,54.000000,158.440111,0.000000,244.178273
35500,6782.489349,0.000000,54.000000,159.442897,0.000000,228.635097
35501,6782.489349,0.000000,54.000000,159.944290,0.000000,220.863510
35503,6782.489349,0.000000,54.000000,160.947075,0.000000,205.320334
35505,6782.489349,0.000000,54.000000,161.949861,0.000000,189.777159
35507,6782.489349,0.000000,54.000000,162.952646,0.000000,174.233983
35509,6782.489349,0.000000,54.000000,163.955432,0.000000,158.690808
35511,6782.489349,0.000000,54.000000,164.958217,0.000000,143.147632
35513,6782.489349,0.000000,54.000000,165.961003,0.000000,127.604457
35515,6782.489349,0.000000,54.000000,166.963788,0.000000,112.061281
35517,6782.489349,0.000000,54.000000,167.966574,0.000000,96.518106
35519,6782.489349,0.000000,54.000000,168.969359,0.000000,80.974930
35521,6782.489349,0.000000,54.000000,169.972145,0.000000,65.431755
35523,6782.489349,0.000000,54.000000,170.974930,0.000000,49.888579
35525,6782.489349,0.000000,54.000000,171.977716,0.000000,34.345404
35527,6782.489349,0.000000,54.000000,172.980501,0.000000,18.802228
35529,6782.489349,0.000000,54.000000,173.983287,0.000000,3.259053
35531,6782.489349,0.000000,54.000000,174.986072,0.000000,347.715877
35533,6782.489349,0.000000,54.000000,175.988858,0.000000,332.172702
35535,6782.489349,0.000000,54.000000,176.991643,0.000000,316.629526
35537,6782.489349,0.000000,54.000000,177.994429,0.000000,301.086351
35539,6782.489349,0.000000,54.000000,178.997214,0.000000,285.543175
35541,6782.489349,0.000000,54.000000,180.000000,0.000000,270.000000
35543,6782.489349,0.000000,54.000000,181.002786,0.000000,254.456825
35545,6782.489349,0.000000,54.000000,182.005571,0.000000,238.913649
35547,6782.489349,0.000000,54.000000,183.008357,0.000000,223.370474
35549,6782.489349,0.000000,54.000000,184.011142,0.000000,207.827298
35550,6782.489349,0.000000,54.000000,184.512535,0.000000,200.055710
35552,6782.489349,0.000000,54.000000,185.515320,0.000000,184.512535
35554,6782.489349,0.000000,54.000000,186.518106,0.000000,168.969359
35556,6782.489349,0.000000,54.000000,187.520891,0.000000,153.426184
35558,6782.489349,0.000000,54.000000,188.523677,0.000000,137.883008
35560,6782.489349,0.000000,54.000000,189.526462,0.000000,122.339833
35562,6782.489349,0.000000,54.000000,190.529248,0.000000,106.796657
35564,6782.489349,0.000000,54.000000,191.532033,0.000000,91.253482
35566,6782.489349,0.000000,54.000000,192.534819,0.000000,75.710306
35568,6782.489349,0.000000,54.000000,193.537604,0.000000,60.167131
35570,6782.489349,0.000000,54.000000,194.540390,0.000000,44.623955
35572,6782.489349,0.000000,54.000000,195.543175,0.000000,29.080780
35574,6782.489349,0.000000,54.000000,196.545961,0.000000,13.537604
35576,6782.489349,0.000000,54.000000,197.548747,0.000000,357.994429
35578,6782.489349,0.000000,54.000000,198.551532,0.000000,342.451253
35580,6782.489349,0.000000,54.000000,199.554318,0.000000,326.908078
35582,6782.489349,0.000000,54.000000,200.557103,0.000000,311.364903
35584,6782.489349,0.000000,54.000000,201.559889,0.000000,295.821727
35586,6782.489349,0.000000,54.000000,202.562674,0.000000,280.278552
35588,6782.489349,0.000000,54.000000,203.565460,0.000000,264.735376
35590,6782.489349,0.000000,54.000000,204.568245,0.000000,249.192201
35592,6782.489349,0.000000,54.000000,205.571031,0.000000,233.649025
35594,6782.489349,0.000000,54.000000,206.573816,0.000000,218.105850
35596,6782.489349,0.000000,54.000000,207.576602,0.000000,202.562674
35598,6782.489349,0.000000,54.000000,208.579387,0.000000,187.019499
35599,6782.489349,0.000000,54.000000,209.080780,0.000000,179.247911
35601,6782.489349,0.000000,54.000000,210.083565,0.000000,163.704735
35603,6782.489349,0.000000,54.000000,211.086351,0.000000,148.161560
