slot_index,a_km,e,i_deg,raan_deg,argp_deg,arg_lat_deg
1508,6782.489349,0.000000,0.000000,36.100279,0.000000,160.445682
1531,6782.489349,0.000000,0.000000,47.632312,0.000000,341.699164
1595,6782.489349,0.000000,0.000000,79.721448,0.000000,204.317549
1716,6782.489349,0.000000,0.000000,140.389972,0.000000,343.955432
1754,6782.489349,0.000000,0.000000,159.442897,0.000000,48.635097
1956,6782.489349,0.000000,0.000000,260.724234,0.000000,278.774373
2093,6782.489349,0.000000,0.000000,329.415042,0.000000,294.066852
2118,6782.489349,0.000000,0.000000,341.949861,0.000000,99.777159
2878,6782.489349,0.000000,1.000000,12.298679,0.000000,313.370474
2900,6782.489349,0.000000,1.000000,23.329320,0.000000,142.395543
2989,6782.489349,0.000000,1.000000,67.953275,0.000000,170.724234
3024,6782.489349,0.000000,1.000000,85.502022,0.000000,258.718663
3048,6782.489349,0.000000,1.000000,97.535448,0.000000,72.200557
3136,6782.489349,0.000000,1.000000,141.658011,0.000000,108.300836
3140,6782.489349,0.000000,1.000000,143.663582,0.000000,77.214485
3177,6782.489349,0.000000,1.000000,162.215114,0.000000,149.665738
3199,6782.489349,0.000000,1.000000,173.245754,0.000000,338.690808
3205,6782.489349,0.000000,1.000000,176.254111,0.000000,292.061281
3281,6782.489349,0.000000,1.000000,214.359960,0.000000,61.420613
3313,6782.489349,0.000000,1.000000,230.404529,0.000000,172.729805
3327,6782.489349,0.000000,1.000000,237.424027,0.000000,63.927577
3398,6782.489349,0.000000,1.000000,273.022913,0.000000,232.144847
3439,6782.489349,0.000000,1.000000,293.580016,0.000000,273.509749
3498,6782.489349,0.000000,1.000000,323.162189,0.000000,174.986072
3697,6782.489349,0.000000,1.000000,62.939348,0.000000,68.440111
3757,6782.489349,0.000000,1.000000,93.022913,0.000000,322.144847
3763,6782.489349,0.000000,1.000000,96.031270,0.000000,275.515320
3876,6782.489349,0.000000,1.000000,152.688651,0.000000,117.325905
3957,6782.489349,0.000000,1.000000,193.301465,0.000000,207.827298
3997,6782.489349,0.000000,1.000000,213.357175,0.000000,256.963788
4035,6782.489349,0.000000,1.000000,232.410100,0.000000,321.643454
4057,6782.489349,0.000000,1.000000,243.440740,0.000000,150.668524
4062,6782.489349,0.000000,1.000000,245.947704,0.000000,111.810585
4296,6782.489349,0.000000,1.000000,3.273609,0.000000,93.259053
