slot_index,a_km,e,i_deg,raan_deg,argp_deg,arg_lat_deg
8617,6782.489349,0.000000,71.000000,5.146554,0.000000,352.228412
8621,6782.489349,0.000000,71.000000,7.152125,0.000000,321.142061
8627,6782.489349,0.000000,71.000000,10.160482,0.000000,274.512535
8628,6782.489349,0.000000,71.000000,10.661874,0.000000,266.740947
8629,6782.489349,0.000000,71.000000,11.163267,0.000000,258.969359
8631,6782.489349,0.000000,71.000000,12.166053,0.000000,243.426184
8633,6782.489349,0.000000,71.000000,13.168838,0.000000,227.883008
8635,6782.489349,0.000000,71.000000,14.171624,0.000000,212.339833
8636,6782.489349,0.000000,71.000000,14.673016,0.000000,204.568245
8639,6782.489349,0.000000,71.000000,16.177195,0.000000,181.253482
8641,6782.489349,0.000000,71.000000,17.179980,0.000000,165.710306
8642,6782.489349,0.000000,71.000000,17.681373,0.000000,157.938719
8644,6782.489349,0.000000,71.000000,18.684159,0.000000,142.395543
8645,6782.489349,0.000000,71.000000,19.185551,0.000000,134.623955
8646,6782.489349,0.000000,71.000000,19.686944,0.000000,126.852368
8649,6782.489349,0.000000,71.000000,21.191122,0.000000,103.537604
8652,6782.489349,0.000000,71.000000,22.695301,0.000000,80.222841
8653,6782.489349,0.000000,71.000000,23.196693,0.000000,72.451253
8655,6782.489349,0.000000,71.000000,24.199479,0.000000,56.908078
8656,6782.489349,0.000000,71.000000,24.700872,0.000000,49.136490
8657,6782.489349,0.000000,71.000000,25.202264,0.000000,41.364903
8660,6782.489349,0.000000,71.000000,26.706443,0.000000,18.050139
8664,6782.489349,0.000000,71.000000,28.712014,0.000000,346.963788
8666,6782.489349,0.000000,71.000000,29.714799,0.000000,331.420613
8667,6782.489349,0.000000,71.000000,30.216192,0.000000,323.649025
8670,6782.489349,0.000000,71.000000,31.720370,0.000000,300.334262
8673,6782.489349,0.000000,71.000000,33.224548,0.000000,277.019499
8674,6782.489349,0.000000,71.000000,33.725941,0.000000,269.247911
8675,6782.489349,0.000000,71.000000,34.227334,0.000000,261.476323
8678,6782.489349,0.000000,71.000000,35.731512,0.000000,238.161560
8682,6782.489349,0.000000,71.000000,37.737083,0.000000,207.075209
8685,6782.489349,0.000000,71.000000,39.241262,0.000000,183.760446
8692,6782.489349,0.000000,71.000000,42.751011,0.000000,129.359331
8695,6782.489349,0.000000,71.000000,44.255189,0.000000,106.044568
8696,6782.489349,0.000000,71.000000,44.756582,0.000000,98.272981
8699,6782.489349,0.000000,71.000000,46.260760,0.000000,74.958217
8700,6782.489349,0.000000,71.000000,46.762153,0.000000,67.186630
8703,6782.489349,0.000000,71.000000,48.266331,0.000000,43.871866
8704,6782.489349,0.000000,71.000000,48.767724,0.000000,36.100279
8706,6782.489349,0.000000,71.000000,49.770509,0.000000,20.557103
8709,6782.489349,0.000000,71.000000,51.274688,0.000000,357.242340
8711,6782.489349,0.000000,71.000000,52.277473,0.000000,341.699164
8714,6782.489349,0.000000,71.000000,53.781652,0.000000,318.384401
8716,6782.489349,0.000000,71.000000,54.784437,0.000000,302.841226
8719,6782.489349,0.000000,71.000000,56.288615,0.000000,279.526462
